gsis_id,pff_id
00-0019560,624
00-0019656,625
00-0019585,626
00-0018956,627
00-0019629,628
00-0018957,629
00-0019459,633
00-0019630,634
00-0019709,635
00-0019710,637
00-0018958,638
00-0019663,639
00-0019610,640
00-0019664,642
00-0019463,643
00-0019586,644
00-0019562,646
00-0019563,647
00-0018959,648
00-0019666,649
00-0019465,650
00-0019587,651
00-0019467,652
00-0019469,653
00-0019669,655
00-0019632,658
00-0019537,660
00-0019475,662
00-0019588,666
00-0019597,668
00-0019673,669
00-0019538,670
00-0019674,671
00-0019613,672
00-0019714,673
00-0019617,675
00-0019539,677
00-0019484,678
00-0019485,680
00-0019552,682
00-0019590,683
00-0019599,684
00-0019635,687
00-0019493,689
00-0019593,690
00-0019594,693
00-0019573,696
00-0019596,698
00-0019554,699
00-0019623,701
00-0019502,705
00-0019548,707
00-0019533,709
00-0018970,710
00-0019506,712
00-0019508,714
00-0019626,715
00-0019509,716
00-0019434,717
00-0019042,718
00-0019293,721
00-0019133,725
00-0019281,726
00-0019302,727
00-0019053,728
00-0019536,730
00-0019387,733
00-0019100,740
00-0019101,741
00-0019153,742
00-0019339,747
00-0019135,749
00-0019435,750
00-0019104,751
00-0019600,753
00-0019310,754
00-0019242,755
00-0019246,757
00-0019276,758
00-0019739,761
00-0019335,762
00-0019041,768
00-0019127,772
00-0020245,773
00-0020533,774
00-0020524,775
00-0020535,776
00-0020536,777
00-0020442,778
00-0020489,779
00-0020443,781
00-0020491,782
00-0020492,783
00-0020493,784
00-0020525,785
00-0020494,786
00-0020466,787
00-0020444,788
00-0020426,789
00-0020521,790
00-0020495,791
00-0020467,792
00-0020527,793
00-0020460,796
00-0020514,797
00-0020418,798
00-0020515,799
00-0020498,800
00-0020516,801
00-0020531,802
00-0020382,804
00-0020285,805
00-0020397,806
00-0020468,807
00-0020403,808
00-0020317,809
00-0020499,810
00-0020428,811
00-0020461,813
00-0020380,814
00-0020522,815
00-0020469,816
00-0020470,817
00-0020543,818
00-0020462,819
00-0020445,820
00-0020446,821
00-0020471,825
00-0020405,826
00-0020503,827
00-0020528,828
00-0020472,829
00-0020504,830
00-0020505,831
00-0020406,834
00-0020367,836
00-0020337,837
00-0020286,838
00-0020384,839
