game_id,game_key,official_name,position,jersey_number,official_id,old_game_id,season_type,season,week
2016_01_CAR_DEN,56901,Gene Steratore,Referee,114,102,2016090800,REG,2016,1
2016_01_CAR_DEN,56901,Bob Waggoner,Side Judge,25,17,2016090800,REG,2016,1
2016_01_CAR_DEN,56901,Gary Arthur,Line Judge,108,77,2016090800,REG,2016,1
2016_01_CAR_DEN,56901,Ed Walker,Head Linesman,123,13,2016090800,REG,2016,1
2016_01_CAR_DEN,56901,Mike Weatherford,Field Judge,116,36,2016090800,REG,2016,1
2016_01_CAR_DEN,56901,Dino Paganelli,Back Judge,105,16,2016090800,REG,2016,1
2016_01_CAR_DEN,56901,Bill Schuster,Umpire,129,88,2016090800,REG,2016,1
2016_01_CAR_DEN,56901,Paul Weidner,Replay Official,-1,142,2016090800,REG,2016,1
2016_01_TB_ATL,56902,Jeff Bergman,Head Linesman,32,99,2016091100,REG,2016,1
2016_01_TB_ATL,56902,Scott Edwards,Field Judge,3,7,2016091100,REG,2016,1
2016_01_TB_ATL,56902,Steve Freeman,Back Judge,133,129,2016091100,REG,2016,1
2016_01_TB_ATL,56902,Sarah Thomas,Line Judge,53,107,2016091100,REG,2016,1
2016_01_TB_ATL,56902,Shawn Smith,Umpire,14,150,2016091100,REG,2016,1
2016_01_TB_ATL,56902,Dyrol Prioleau,Side Judge,109,81,2016091100,REG,2016,1
2016_01_TB_ATL,56902,Al Hynes,Replay Official,-1,NA,2016091100,REG,2016,1
2016_01_TB_ATL,56902,Jeff Triplette,Referee,42,48,2016091100,REG,2016,1
2016_01_BUF_BAL,56903,Shawn Hochuli,Back Judge,-1,113,2016091101,REG,2016,1
2016_01_BUF_BAL,56903,Tom Hill,Field Judge,-1,78,2016091101,REG,2016,1
2016_01_BUF_BAL,56903,Jim Mello,Head Linesman,-1,2,2016091101,REG,2016,1
2016_01_BUF_BAL,56903,David Meslow,Side Judge,-1,92,2016091101,REG,2016,1
2016_01_BUF_BAL,56903,Jim Lapetina,Replay Official,-1,NA,2016091101,REG,2016,1
2016_01_BUF_BAL,56903,Brad Allen,Referee,-1,43,2016091101,REG,2016,1
2016_01_BUF_BAL,56903,Thomas Symonette,Line Judge,-1,121,2016091101,REG,2016,1
2016_01_BUF_BAL,56903,Fred Bryan,Umpire,11,98,2016091101,REG,2016,1
2016_01_CHI_HOU,56904,Boris Cheek,Side Judge,41,26,2016091102,REG,2016,1
2016_01_CHI_HOU,56904,Tommy Moore,Replay Official,-1,NA,2016091102,REG,2016,1
2016_01_CHI_HOU,56904,Peter Morelli,Referee,135,127,2016091102,REG,2016,1
2016_01_CHI_HOU,56904,Carl Johnson,Line Judge,101,117,2016091102,REG,2016,1
2016_01_CHI_HOU,56904,Steve Stelljes,Head Linesman,22,64,2016091102,REG,2016,1
2016_01_CHI_HOU,56904,Gregory Steed,Back Judge,12,44,2016091102,REG,2016,1
2016_01_CHI_HOU,56904,Bryan Neale,Umpire,92,45,2016091102,REG,2016,1
2016_01_CHI_HOU,56904,Doug Rosenbaum,Field Judge,67,136,2016091102,REG,2016,1
2016_01_GB_JAX,56905,Jonah Monroe,Side Judge,120,148,2016091103,REG,2016,1
2016_01_GB_JAX,56905,Earnie Frantz,Replay Official,-1,NA,2016091103,REG,2016,1
2016_01_GB_JAX,56905,Terry McAulay,Referee,77,5,2016091103,REG,2016,1
2016_01_GB_JAX,56905,Tom Stephan,Line Judge,68,41,2016091103,REG,2016,1
2016_01_GB_JAX,56905,Jerry Bergman,Head Linesman,91,57,2016091103,REG,2016,1
2016_01_GB_JAX,56905,Rick Patterson,Field Judge,15,105,2016091103,REG,2016,1
2016_01_GB_JAX,56905,Undrey Wash,Umpire,96,134,2016091103,REG,2016,1
2016_01_GB_JAX,56905,Rich Martinez,Back Judge,39,93,2016091103,REG,2016,1
2016_01_SD_KC,56906,Walt Coleman IV,Side Judge,-1,145,2016091104,REG,2016,1
2016_01_SD_KC,56906,Carl Madsen,Replay Official,-1,NA,2016091104,REG,2016,1
2016_01_SD_KC,56906,Jerome Boger,Referee,-1,103,2016091104,REG,2016,1
2016_01_SD_KC,56906,Dana McKenzie,Line Judge,-1,74,2016091104,REG,2016,1
2016_01_SD_KC,56906,Eugene Hall,Field Judge,-1,108,2016091104,REG,2016,1
2016_01_SD_KC,56906,Ed Camp,Head Linesman,-1,40,2016091104,REG,2016,1
2016_01_SD_KC,56906,Tony Steratore,Back Judge,-1,131,2016091104,REG,2016,1
2016_01_SD_KC,56906,Richard Hall,Umpire,-1,125,2016091104,REG,2016,1
2016_01_OAK_NO,56907,Perry Paganelli,Back Judge,46,115,2016091105,REG,2016,1
2016_01_OAK_NO,56907,Jabir Walker,Field Judge,26,34,2016091105,REG,2016,1
2016_01_OAK_NO,56907,Mark Pellis,Umpire,131,85,2016091105,REG,2016,1
2016_01_OAK_NO,56907,Bob McGrath,Replay Official,-1,NA,2016091105,REG,2016,1
2016_01_OAK_NO,56907,John Parry,Referee,132,47,2016091105,REG,2016,1
2016_01_OAK_NO,56907,Jeff Seeman,Line Judge,45,23,2016091105,REG,2016,1
2016_01_OAK_NO,56907,John McGrath,Head Linesman,5,53,2016091105,REG,2016,1
2016_01_OAK_NO,56907,Keith Washington,Side Judge,7,75,2016091105,REG,2016,1
2016_01_CIN_NYJ,56908,Steve Patrick,Back Judge,-1,143,2016091106,REG,2016,1
2016_01_CIN_NYJ,56908,Joe Larrew,Side Judge,-1,60,2016091106,REG,2016,1
2016_01_CIN_NYJ,56908,Richard Reels,Replay Official,-1,NA,2016091106,REG,2016,1
2016_01_CIN_NYJ,56908,Clete Blakeman,Referee,-1,119,2016091106,REG,2016,1
2016_01_CIN_NYJ,56908,Hugo Cruz,Head Linesman,-1,82,2016091106,REG,2016,1
2016_01_CIN_NYJ,56908,Adrian Hill,Field Judge,-1,10,2016091106,REG,2016,1
2016_01_CIN_NYJ,56908,Tony Veteri,Line Judge,-1,18,2016091106,REG,2016,1
2016_01_CIN_NYJ,56908,Ramon George,Umpire,-1,153,2016091106,REG,2016,1
2016_01_CLE_PHI,56909,Gregory Wilson,Back Judge,-1,97,2016091107,REG,2016,1
2016_01_CLE_PHI,56909,John Jenkins,Field Judge,-1,86,2016091107,REG,2016,1
2016_01_CLE_PHI,56909,Jerod Phillips,Head Linesman,-1,155,2016091107,REG,2016,1
2016_01_CLE_PHI,56909,Walt Anderson,Referee,66,19,2016091107,REG,2016,1
2016_01_CLE_PHI,56909,Billy Smith,Replay Official,-1,38,2016091107,REG,2016,1
2016_01_CLE_PHI,56909,Byron Boston,Line Judge,-1,8,2016091107,REG,2016,1
2016_01_CLE_PHI,56909,Butch Hannah,Umpire,-1,14,2016091107,REG,2016,1
2016_01_CLE_PHI,56909,Laird Hayes,Side Judge,-1,133,2016091107,REG,2016,1
2016_01_MIN_TEN,56910,Terry Brown,Field Judge,43,96,2016091108,REG,2016,1
2016_01_MIN_TEN,56910,Terrence Miles,Back Judge,111,139,2016091108,REG,2016,1
2016_01_MIN_TEN,56910,Derick Bowers,Head Linesman,74,30,2016091108,REG,2016,1
2016_01_MIN_TEN,56910,Kevin Codey,Line Judge,16,76,2016091108,REG,2016,1
2016_01_MIN_TEN,56910,Walt Coleman,Referee,65,58,2016091108,REG,2016,1
2016_01_MIN_TEN,56910,Louis Nazzaro,Replay Official,-1,NA,2016091108,REG,2016,1
2016_01_MIN_TEN,56910,Alan Eck,Side Judge,76,154,2016091108,REG,2016,1
2016_01_MIN_TEN,56910,Jeff Rice,Umpire,44,9,2016091108,REG,2016,1
2016_01_MIA_SEA,56911,Wayne Mackie,Head Linesman,106,15,2016091109,REG,2016,1
2016_01_MIA_SEA,56911,Jimmy Buchanan,Field Judge,86,35,2016091109,REG,2016,1
2016_01_MIA_SEA,56911,Keith Ferguson,Back Judge,61,68,2016091109,REG,2016,1
2016_01_MIA_SEA,56911,Ron Marinucci,Line Judge,107,122,2016091109,REG,2016,1
2016_01_MIA_SEA,56911,Tony Michalek,Umpire,115,69,2016091109,REG,2016,1
2016_01_MIA_SEA,56911,Allen Baynes,Side Judge,56,32,2016091109,REG,2016,1
2016_01_MIA_SEA,56911,Mike Wimmer,Replay Official,-1,NA,2016091109,REG,2016,1
2016_01_MIA_SEA,56911,John Hussey,Referee,35,114,2016091109,REG,2016,1
2016_01_NYG_DAL,56912,Greg Yette,Back Judge,38,79,2016091110,REG,2016,1
2016_01_NYG_DAL,56912,Aaron Santi,Field Judge,50,149,2016091110,REG,2016,1
2016_01_NYG_DAL,56912,Jim Howey,Head Linesman,37,137,2016091110,REG,2016,1
2016_01_NYG_DAL,56912,Greg Gautreaux,Side Judge,80,80,2016091110,REG,2016,1
2016_01_NYG_DAL,56912,Bill Spyksma,Replay Official,-1,NA,2016091110,REG,2016,1
2016_01_NYG_DAL,56912,Mark Steinkerchner,Line Judge,84,56,2016091110,REG,2016,1
2016_01_NYG_DAL,56912,Paul  King,Umpire,121,67,2016091110,REG,2016,1
2016_01_NYG_DAL,56912,Ronald Torbert,Referee,62,104,2016091110,REG,2016,1
2016_01_DET_IND,56913,Greg Bradley,Head Linesman,98,55,2016091111,REG,2016,1
2016_01_DET_IND,56913,Dale Shaw,Field Judge,104,29,2016091111,REG,2016,1
2016_01_DET_IND,56913,Scott Helverson,Back Judge,93,83,2016091111,REG,2016,1
2016_01_DET_IND,56913,Rusty Baynes,Line Judge,59,31,2016091111,REG,2016,1
2016_01_DET_IND,56913,Clay Martin,Umpire,19,46,2016091111,REG,2016,1
2016_01_DET_IND,56913,Alex Kemp,Side Judge,55,106,2016091111,REG,2016,1
2016_01_DET_IND,56913,Tom Sifferman,Replay Official,-1,NA,2016091111,REG,2016,1
2016_01_DET_IND,56913,Ed Hochuli,Referee,85,89,2016091111,REG,2016,1
2016_01_NE_ARI,56914,Patrick Turner,Head Linesman,13,70,2016091112,REG,2016,1
2016_01_NE_ARI,56914,Buddy Horton,Field Judge,82,146,2016091112,REG,2016,1
2016_01_NE_ARI,56914,Todd Prukop,Back Judge,30,120,2016091112,REG,2016,1
2016_01_NE_ARI,56914,Bart Longson,Line Judge,2,147,2016091112,REG,2016,1
2016_01_NE_ARI,56914,Tony Corrente,Referee,99,37,2016091112,REG,2016,1
2016_01_NE_ARI,56914,Russell Yurk,Replay Official,-1,NA,2016091112,REG,2016,1
2016_01_NE_ARI,56914,Rob Vernatchi,Side Judge,75,52,2016091112,REG,2016,1
2016_01_NE_ARI,56914,Dan Ferrell,Umpire,64,61,2016091112,REG,2016,1
2016_01_PIT_WAS,56915,Mark Hittner,Head Linesman,28,118,2016091200,REG,2016,1
2016_01_PIT_WAS,56915,Steve Zimmer,Field Judge,33,116,2016091200,REG,2016,1
2016_01_PIT_WAS,56915,Lee Dyer,Back Judge,27,72,2016091200,REG,2016,1
2016_01_PIT_WAS,56915,Julian Mapp,Line Judge,10,101,2016091200,REG,2016,1
2016_01_PIT_WAS,56915,Barry Anderson,Umpire,20,21,2016091200,REG,2016,1
2016_01_PIT_WAS,56915,Jeff Lamberth,Side Judge,21,27,2016091200,REG,2016,1
2016_01_PIT_WAS,56915,Larry Nemmers,Replay Official,-1,NA,2016091200,REG,2016,1
2016_01_PIT_WAS,56915,Craig Wrolstad,Referee,4,24,2016091200,REG,2016,1
2016_01_LA_SF,56916,Greg Meyer,Back Judge,78,42,2016091201,REG,2016,1
2016_01_LA_SF,56916,Michael Banks,Field Judge,72,20,2016091201,REG,2016,1
2016_01_LA_SF,56916,Phil McKinnely,Head Linesman,110,65,2016091201,REG,2016,1
2016_01_LA_SF,56916,Mark Perlman,Line Judge,9,49,2016091201,REG,2016,1
2016_01_LA_SF,56916,Bill Vinovich,Referee,52,4,2016091201,REG,2016,1
2016_01_LA_SF,56916,Darryll Lewis,Replay Official,-1,73,2016091201,REG,2016,1
2016_01_LA_SF,56916,Gary Cavaletto,Side Judge,60,128,2016091201,REG,2016,1
2016_01_LA_SF,56916,Bruce Stritesky,Umpire,102,50,2016091201,REG,2016,1
2016_02_NYJ_BUF,56917,Tom Sifferman,Replay Official,-1,,2016091500,REG,2016,2
2016_02_NYJ_BUF,56917,Ed Hochuli,Referee,85,89,2016091500,REG,2016,2
2016_02_NYJ_BUF,56917,Rusty Baynes,Line Judge,59,31,2016091500,REG,2016,2
2016_02_NYJ_BUF,56917,Dale Shaw,Field Judge,104,29,2016091500,REG,2016,2
2016_02_NYJ_BUF,56917,Alex Kemp,Side Judge,55,106,2016091500,REG,2016,2
2016_02_NYJ_BUF,56917,Greg Bradley,Head Linesman,98,55,2016091500,REG,2016,2
2016_02_NYJ_BUF,56917,Scott Helverson,Back Judge,93,83,2016091500,REG,2016,2
2016_02_NYJ_BUF,56917,Clay Martin,Umpire,19,46,2016091500,REG,2016,2
2016_02_TB_ARI,56926,Greg Yette,Back Judge,38,79,2016091808,REG,2016,2
2016_02_TB_ARI,56926,Aaron Santi,Field Judge,50,149,2016091808,REG,2016,2
2016_02_TB_ARI,56926,Jim Howey,Head Linesman,37,137,2016091808,REG,2016,2
2016_02_TB_ARI,56926,Mark Steinkerchner,Line Judge,84,56,2016091808,REG,2016,2
2016_02_TB_ARI,56926,Ronald Torbert,Referee,62,104,2016091808,REG,2016,2
2016_02_TB_ARI,56926,Bill Spyksma,Replay Official,-1,,2016091808,REG,2016,2
2016_02_TB_ARI,56926,Greg Gautreaux,Side Judge,80,80,2016091808,REG,2016,2
2016_02_TB_ARI,56926,Paul  King,Umpire,121,67,2016091808,REG,2016,2
2016_02_SF_CAR,56918,Jabir Walker,Field Judge,26,34,2016091800,REG,2016,2
2016_02_SF_CAR,56918,Perry Paganelli,Back Judge,46,115,2016091800,REG,2016,2
2016_02_SF_CAR,56918,Jeff Seeman,Line Judge,45,23,2016091800,REG,2016,2
2016_02_SF_CAR,56918,Mark Pellis,Umpire,131,85,2016091800,REG,2016,2
2016_02_SF_CAR,56918,Keith Washington,Side Judge,7,75,2016091800,REG,2016,2
2016_02_SF_CAR,56918,Bob McGrath,Replay Official,-1,,2016091800,REG,2016,2
2016_02_SF_CAR,56918,John Parry,Referee,132,47,2016091800,REG,2016,2
2016_02_SF_CAR,56918,John McGrath,Head Linesman,5,53,2016091800,REG,2016,2
2016_02_BAL_CLE,56919,Keith Ferguson,Back Judge,61,68,2016091801,REG,2016,2
