game_id,game_key,official_name,position,jersey_number,official_id,old_game_id,season_type,season,week
2019_01_GB_CHI,57900,Todd Prukop,Back Judge,30,120,2019090500,REG,2019,1
2019_01_GB_CHI,57900,Tim Podraza,Line Judge,47,123,2019090500,REG,2019,1
2019_01_GB_CHI,57900,Anthony Jeffries,Field Judge,36,177,2019090500,REG,2019,1
2019_01_GB_CHI,57900,Bill Schuster,Umpire,129,88,2019090500,REG,2019,1
2019_01_GB_CHI,57900,Dana McKenzie,Down Judge,8,74,2019090500,REG,2019,1
2019_01_GB_CHI,57900,Tony Corrente,Referee,99,37,2019090500,REG,2019,1
2019_01_GB_CHI,57900,Boris Cheek,Side Judge,41,26,2019090500,REG,2019,1
2019_01_LA_CAR,57901,Greg Bradley,Line Judge,98,55,2019090800,REG,2019,1
2019_01_LA_CAR,57901,Rich Martinez,Back Judge,39,93,2019090800,REG,2019,1
2019_01_LA_CAR,57901,Paul King,Umpire,121,67,2019090800,REG,2019,1
2019_01_LA_CAR,57901,Ed Camp,Down Judge,134,40,2019090800,REG,2019,1
2019_01_LA_CAR,57901,Shawn Hochuli,Referee,83,113,2019090800,REG,2019,1
2019_01_LA_CAR,57901,Tom Hill,Field Judge,97,78,2019090800,REG,2019,1
2019_01_LA_CAR,57901,James Coleman,Side Judge,95,6,2019090800,REG,2019,1
2019_01_TEN_CLE,57902,Jim Mello,Down Judge,48,2,2019090801,REG,2019,1
2019_01_TEN_CLE,57902,Jimmy Russell,Side Judge,82,176,2019090801,REG,2019,1
2019_01_TEN_CLE,57902,Brian Bolinger,Line Judge,40,167,2019090801,REG,2019,1
2019_01_TEN_CLE,57902,Barry Anderson,Umpire,20,21,2019090801,REG,2019,1
2019_01_TEN_CLE,57902,Steve Zimmer,Field Judge,33,116,2019090801,REG,2019,1
2019_01_TEN_CLE,57902,Greg Yette,Back Judge,38,79,2019090801,REG,2019,1
2019_01_TEN_CLE,57902,Brad Allen,Referee,122,43,2019090801,REG,2019,1
2019_01_KC_JAX,57903,Jeff Seeman,Line Judge,45,23,2019090802,REG,2019,1
2019_01_KC_JAX,57903,Eugene Hall,Side Judge,103,108,2019090802,REG,2019,1
2019_01_KC_JAX,57903,Michael Banks,Field Judge,72,20,2019090802,REG,2019,1
